Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging?,General Comments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID
"Pick up the yellow block that is on your far right, the 2nd down in a line of 4 yellow blocks, and directly next to a blue block.",Configuration_4_v1.png,human,1,0:00:39.997659,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
Pick up the blue block that is above a green block and below another blue rock.,Configuration_14_v2.png,human,2,0:00:28.329100,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
Pick up the yellow  block.,Configuration_1_v1.png,human,5,0:00:09.437414,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
Pick up the yellow block that is closest to me and furthest from you.,Configuration_5_v2.png,human,5,0:00:12.120721,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
Pick up the green block that is closest to me and furthest from you. It is not near any other green block.,Configuration_9_v1.png,human,5,0:00:17.053800,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
Pick up the green block that is below another green block and right next to a blue block.,Configuration_7_v2.png,human,5,0:00:18.854011,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
"Pick up the blue block that is next to another blue block and green block, and above an orange block.",Configuration_12_v1.png,human,2,0:00:24.276567,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
"There are two blue blocks right next to each right, right in front of an orange block that is very close to you. Pick the blue block that is on your right side when you look at these two blue blocks.",Configuration_2_v2.png,human,1,0:00:49.325122,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
"There is a row of three green blocks very close to each other in the middle of the block arrangement. On either side of these three green blocks, there is a blue block. Pick the green block directly in the middle of this row of three green blocks.",Configuration_8_v1.png,human,1,0:00:41.588943,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
Pick up the green block that is furthest from you and closest to me.,Configuration_3_v2.png,human,5,0:00:11.416226,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
Pick up the orange block that is furthest from you and closest to me. There are no other blocks near this orange block.,Configuration_10_v1.png,human,5,0:00:22.671309,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
"There are two green blocks right next to each other. One of these green blocks is touching a yellow block. Pick up the yellow block it is touching. This yellow block is next to a bunch of other yellow blocks, but you want to pick up the one that is touching a green block.",Configuration_13_v2.png,human,2,0:00:41.402896,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
Pick up the yellow block that is sandwiched between two green blocks and one blue block.,Configuration_11_v1.png,human,1,0:00:29.022911,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
I would tell the robot to pick up the yellow block directly in front of him. The one to the right of the green block,Configuration_5_v2.png,robot,4,0:00:32.712360,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
"I would tell the robot to pick up the orange block on the far right, first row",Configuration_10_v1.png,robot,4,0:00:22.338106,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
I would tell the robot to pick up the green block on the far right just above the two blue blocks,Configuration_3_v2.png,robot,4,0:00:21.406622,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
I would tell the robot to pick up the yellow block that is directly in front of the blue block on the right hand side.,Configuration_11_v1.png,robot,4,0:00:26.215565,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
"I would tell the robot to pick up the green block that is in front of me, standing on its own",Configuration_1_v2.png,robot,4,0:00:28.085033,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
I would tell the robot to pick up the orange block that is group together with other orange blocks but is closer to me.,Configuration_13_v1.png,robot,4,0:01:15.540317,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
I would tell the robot to pick up the green block that is directly in front of me,Configuration_9_v2.png,robot,4,0:00:14.580016,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
I would tell the robot to pick up the green block that is grouped with other green blocks but is off to the right and just above two green blocks,Configuration_6_v1.png,robot,2,0:00:29.807986,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
"I would tell the robot to pick up the green block that is grouped with 3 other green blocks but to choose the one on the right side , next to the left of the blue block",Configuration_8_v2.png,robot,2,0:00:38.629947,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
"I would tell the robot to pick up the blue block on the far left, just above the yellow block and closer to me",Configuration_14_v1.png,robot,2,0:00:22.785396,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
I would tell the robot to pick up the blue block directly in front of him that is to the left of another blue block,Configuration_12_v2.png,robot,4,0:00:22.741540,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
"I would tell the robot to pick up the blue block on the far right, that is above a green block and to the left of another green block",Configuration_7_v1.png,robot,4,0:00:49.794984,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
I would tell the robot to pick up the yellow block that is grouped with other yellow blocks but is closer to me and  not the closest to me but the one to the right of it,Configuration_4_v2.png,robot,1,0:00:36.974933,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
I would tell the robot to pick up the blue block on the far right that is closet to me at the top of the table. It is the one in the middle,Configuration_2_v1.png,robot,2,0:00:24.178109,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
Please pick up the green block that located on your right and is positioned closest to you.,Configuration_1_v2.png,human,4,0:00:56.253924,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
Please pick up the orange block that is located on your left and positioned closest to me.,Configuration_10_v1.png,human,4,0:01:38.344306,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
"Please pick up the blue block that is located directly behind the green block closest to you, in the center of the table.",Configuration_14_v2.png,human,4,0:00:56.883853,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
"Please pick up the green block that is positioned closest to you, slightly to your right.",Configuration_3_v1.png,human,5,0:00:48.813417,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
Please pick up the green block that is positioned closest to you.,Configuration_9_v2.png,human,5,0:00:51.979730,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
Please pick up the orange block that is located directly behind the yellow block positioned at your far right on the table.,Configuration_13_v1.png,human,2,0:02:46.833378,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
"Please pick up the blue block that is directly behind, not adjacent to, the orange block in the center-left of the table.  It is the blue block that it turned so that it mimics the shape of a diamond.",Configuration_2_v2.png,human,2,0:02:35.808300,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
"There is a blue block on the table that is positioned to your farthest right. Please pick up the yellow block directly behind, and closest to, that blue block.",Configuration_4_v1.png,human,1,0:03:10.771106,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
"Please pick up the blue block located closest to you on the table, positioned directly between the green and yellow blocks.",Configuration_11_v2.png,human,4,0:01:15.601578,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
"Please pick up the blue block that is to your farthest left on the table. It is the one almost directly in front of a green block, and to the left of an orange block.",Configuration_7_v1.png,human,2,0:01:28.816522,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
"Please pick up the green block that is nearest to the exact center of the table, and directly in front of an orange block. Do not pick up the green block located behind a blue block.",Configuration_6_v2.png,human,2,0:01:46.096255,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
"Please pick up the blue block that is nearest to the center of the table, and slightly behind the orange block that is also in the center of the table. Do not pick up the blue block that is nearest to me, located directly behind the yellow block.",Configuration_12_v1.png,human,1,0:02:34.032117,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
"Please pick up the green block that is almost in the center of the table. It is the green block to the immediate right of a blue block, and in front of the yellow block nearest me.",Configuration_8_v2.png,human,1,0:03:42.953651,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
"Please pick up the orange block that is nearest to me. It is the orange block directly adjacent to, and slightly to the left of, the to the yellow block nearest me.",Configuration_5_v1.png,human,1,0:03:07.986947,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
From your perspective you should pick the closest green cube to you.,Configuration_1_v2.png,human,3,0:00:39.113173,I used the colors and there directions from their perspective. ,Trying to identify a cube within the same cluster of cubes that are the same color ,,25,male,engineer,10-15,Right,1,2,2,3,3,Yes just lego robots i bought. ,211
From your perspective i would choose the second blue block to the left.,Configuration_2_v1.png,human,2,0:00:29.558878,I used the colors and there directions from their perspective. ,Trying to identify a cube within the same cluster of cubes that are the same color ,,25,male,engineer,10-15,Right,1,2,2,3,3,Yes just lego robots i bought. ,211
