Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID
Pick up the second green block from the top,Configuration_7_v2.png,human,5,0:00:42.224557,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Locate the two blue blocks closest to the orange block found on the southern side of the table. Next pick up the blue block located to the north of that orange block.,Configuration_2_v2.png,human,1,0:03:10.996999,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Pick up the yellow cube.,Configuration_1_v1.png,human,5,0:00:16.074734,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Locate the 5 green cubes standing close to each other. Pick up the one in the middle.,Configuration_6_v1.png,human,2,0:01:01.003376,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Lick up the blue block located on the right side of the table,Configuration_14_v1.png,human,4,0:00:39.803265,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Pick up the orange cube found furthest from you.,Configuration_5_v1.png,human,4,0:00:38.880671,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
pick up the blue block at the front center of the table,Configuration_12_v1.png,robot,2,0:00:27.716954,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the blue block on your right in between the green and blue blocks,Configuration_11_v2.png,robot,2,0:00:32.319787,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the yellow block that is located near the front but between the two blue blocks on your right. It's the yellow block on the right.,Configuration_4_v1.png,robot,1,0:00:43.186727,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
Pick up the yellow block just to the right of both green blocks,Configuration_13_v2.png,robot,3,0:00:25.929826,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the green block that is directly to the right of the one in the center.,Configuration_8_v1.png,robot,4,0:00:23.628155,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the most northern yellow block,Configuration_5_v2.png,robot,5,0:00:25.112397,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the most southern orange block on your right,Configuration_10_v2.png,robot,5,0:00:19.333528,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the green block that is closest to you,Configuration_3_v1.png,robot,5,0:00:12.399052,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the green block that is in the direct center of the table,Configuration_8_v2.png,robot,4,0:00:14.183249,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the blue block that is just above the orange block on your immediate right,Configuration_2_v2.png,robot,3,0:00:21.997754,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
"pick up the green block on the top right, under the blue blocks",Configuration_3_v2.png,robot,4,0:00:16.492920,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the only yellow block on the table,Configuration_1_v1.png,robot,5,0:00:11.958814,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the orange block that is near the top of the table and to the right,Configuration_5_v1.png,robot,2,0:00:16.591513,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the yellow block that is above the bottom orange block. It is the one to the left of the other yellow block,Configuration_4_v2.png,robot,1,0:00:27.260047,Seeing how many other same colored blocks were on the table per trial. ,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
pick up the blue block on your right,Configuration_11_v2.png,human,4,0:00:20.284641,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the first green block on your left,Configuration_7_v2.png,human,4,0:00:18.803126,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the orange block closest to me,Configuration_10_v1.png,human,4,0:00:14.750332,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the green block closest to me,Configuration_9_v1.png,human,4,0:00:12.770368,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the yellow block,Configuration_1_v1.png,human,5,0:00:13.734096,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the yellow block on the right that is between the 2 blue blocks,Configuration_4_v1.png,human,2,0:00:32.301464,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the middle green block from the 3 in a horizontal row,Configuration_8_v1.png,human,2,0:00:23.686255,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the blue block that is to the lower left of the middle blue block,Configuration_2_v2.png,human,2,0:00:40.922869,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the yellow block that is touching the green block and to the right of the green block,Configuration_13_v2.png,human,1,0:00:31.578190,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the blue block that is 2nd closest to me,Configuration_12_v1.png,human,3,0:00:32.867587,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the middle green block from the group of 5,Configuration_6_v1.png,human,2,0:00:14.582664,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the green block on the left,Configuration_3_v2.png,human,4,0:00:15.857514,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the far right blue block,Configuration_14_v1.png,human,4,0:00:11.538791,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
pick up the orange block closest to me,Configuration_5_v1.png,human,4,0:00:13.646776,using left and right,describing the instructions from their point of view and not mine,,35,female,retail manager,>20,Right,1,2,2,5,4,no,911
Pick up the green block on your left.,Configuration_3_v2.png,robot,5,0:02:22.188327,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the green block that is farthest to your left.,Configuration_9_v1.png,robot,4,0:00:24.252475,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the green block that's in the middle of the other 4 green ones on your left.,Configuration_6_v1.png,robot,4,0:00:22.177825,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the blue block on your far right.,Configuration_14_v1.png,robot,5,0:01:59.219572,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the yellow block.,Configuration_1_v1.png,robot,5,0:00:10.407909,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the bottom green block on your left.,Configuration_7_v2.png,robot,4,0:00:14.271987,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the blue block that is closest to you.,Configuration_11_v2.png,robot,5,0:00:30.709597,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the blue block that is on the top left.,Configuration_12_v1.png,robot,4,0:00:16.469380,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the third blue block from your left.,Configuration_2_v2.png,robot,4,0:00:12.512454,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the orange block the top left.,Configuration_10_v1.png,robot,5,0:01:07.277749,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the middle of the three green blocks that are located on the middle of the table.,Configuration_8_v1.png,robot,3,0:00:37.038962,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the yellow block that is directly right of the bottom green block.,Configuration_13_v2.png,robot,2,0:00:28.125858,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the orange block that is furthest away from you.,Configuration_5_v1.png,robot,4,0:00:20.543213,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the yellow block that is directly to the left of the blue block on the right side of the table.,Configuration_4_v1.png,robot,3,0:00:34.559358,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Please pick up the yellow block,Configuration_1_v1.png,human,5,0:00:18.131225,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
Please pick up the second green block from your right within a string of three green blocks between to blue blocks.,Configuration_8_v1.png,human,2,0:01:57.480359,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
"Pick up the first orange block on your left, toward the top.",Configuration_5_v1.png,human,4,0:01:39.801974,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
In the middle of the pile you'll see two blue blocks directly infront of a sole green block.  Pick up the first blue block.,Configuration_14_v2.png,human,2,0:01:41.835136,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
Pick up the green block closest to you.,Configuration_9_v2.png,human,5,0:00:22.134136,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
"pick up the green block, third from the top next to the two orange blocks.",Configuration_6_v2.png,human,4,0:00:23.414140,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
pick up the blue block on your left.,Configuration_7_v1.png,human,5,0:00:12.963179,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
"pick up the blue block on your right, closest to you.",Configuration_11_v2.png,human,5,0:00:17.094489,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
pick up the yellow block fourth from the bottom on the string of blocks on your right.  It's immediately next to the far right blue block.,Configuration_4_v1.png,human,2,0:01:00.131582,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
pick up the orange block at the top left corner.,Configuration_10_v1.png,human,5,0:00:21.778655,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
"Pick up the third blue block from your left, start counting on the first blue block on the far left.",Configuration_2_v2.png,human,5,0:00:39.964117,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
Pick up the blue block that is the second farthest away from yo at the top.,Configuration_12_v1.png,human,4,0:00:26.008432,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
"Pick up the yellow block, in the middle touching the green block on the left side.",Configuration_13_v2.png,human,2,0:00:32.555479,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
Pick up the green block at the top left portion of the blocks.,Configuration_3_v2.png,human,5,0:00:24.391578,"Not really, just addressing each case individually. ",The most challenging tasks were the ones where there were several of the same color bunched together. ,,37,male,HR Specalist,>20,Right,1,1,1,6,5,No,913
Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up an object.,Configuration_5_v1.png,robot,3,0:01:42.696936,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
"Put your left hand on the table and slide it forward,i will tell you when to stop and the I want you to pick up a block",Configuration_3_v2.png,robot,2,0:01:39.297837,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
Lift your right hand and put it over the table. i will guide you as to what direction and when to pick up an object. The object is the second block.,Configuration_14_v2.png,robot,2,0:00:54.994900,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
Lift your right hand and put it over the table. i will guide you as to what direction and when to pick up an object. there is a block i want you to pick up,Configuration_8_v1.png,robot,2,0:00:55.591288,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up an object. it will be the 3rd block in on your left,Configuration_13_v2.png,robot,3,0:00:47.722964,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
Lift your right hand and put it on the table I want you to pick the block closest to you,Configuration_9_v2.png,robot,4,0:01:03.337919,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
There is a block in the middle of the pile. Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up the block,Configuration_6_v2.png,robot,4,0:01:03.650504,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
There is a block in the right side of the table. Lift your right hand and put it over the table. i will guide you as to what direction and when to pick up the block,Configuration_4_v1.png,robot,3,0:00:58.985556,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
There is a block in the back of the pile. Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up the block. It is the 2nd to the last block at the end,Configuration_12_v1.png,robot,4,0:00:49.532246,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
There is a block in the left side of the table. Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up the block. the block is the furthest to your left,Configuration_10_v1.png,robot,4,0:01:22.576693,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
There is a block on the left side of the pile. Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up the block,Configuration_7_v1.png,robot,4,0:01:10.284911,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
There is a block in the right side of the table. Lift your right hand and put it over the table. i will guide you as to what direction and when to pick up the block. It is the 2nd block in.,Configuration_11_v2.png,robot,4,0:00:54.854134,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
There is a block in the back of the pile. Lift your right hand and put it over the table. i will guide you as to what direction and when to pick up the block. the block is the last one in the back on the right side,Configuration_1_v1.png,robot,4,0:01:08.485041,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
There is a block in the towards the  front of the pile. Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up the block.it is the second block in.,Configuration_2_v2.png,robot,3,0:00:53.351739,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
Pick up the yellow block that is two blocks above the blue block closest to you.,Configuration_13_v2.png,robot,3,0:00:56.946027,No strategies,I found some to be more difficult than others depending how many blocks were grouped together. ,Thanks! This was interesting!,38,female,self employed,>20,Right,1,1,1,5,5,No,902
Pick up the blue block furthest on the right.,Configuration_14_v1.png,robot,5,0:00:20.007817,No strategies,I found some to be more difficult than others depending how many blocks were grouped together. ,Thanks! This was interesting!,38,female,self employed,>20,Right,1,1,1,5,5,No,902
Pick up the only yellow block on the table.,Configuration_1_v1.png,robot,5,0:00:15.798101,No strategies,I found some to be more difficult than others depending how many blocks were grouped together. ,Thanks! This was interesting!,38,female,self employed,>20,Right,1,1,1,5,5,No,902
Pick up the blue block that is directly to the right of the furthest yellow block on your left.,Configuration_2_v2.png,robot,1,0:00:35.141078,No strategies,I found some to be more difficult than others depending how many blocks were grouped together. ,Thanks! This was interesting!,38,female,self employed,>20,Right,1,1,1,5,5,No,902
Pick up the blue block that is right below the blue block furthest away from you.,Configuration_12_v1.png,robot,2,0:00:59.471944,No strategies,I found some to be more difficult than others depending how many blocks were grouped together. ,Thanks! This was interesting!,38,female,self employed,>20,Right,1,1,1,5,5,No,902
Pick up the orange block that is the furthest away from you on your left.,Configuration_5_v1.png,robot,2,0:00:28.781259,No strategies,I found some to be more difficult than others depending how many blocks were grouped together. ,Thanks! This was interesting!,38,female,self employed,>20,Right,1,1,1,5,5,No,902
